Title,ID,System,Link cable players,Compatibility rating,Compatibility notes
Tony Hawk’s Pro Skater 3,CGB-B3TE-USA,CGB,2,Unsupported,
Top Gear Pocket,CGB-VGRE-USA,CGB,2,Unsupported,
Top Gear Pocket 2,CGB-A33E-USA,CGB,2,Unsupported,
Top Rank Tennis,DMG-XT-USA,DMG,4,Unsupported,
Track & Field,DMG-KH-USA,DMG,2,Unsupported,
Ultima: Runes of Virtue,DMG-UT-USA,DMG,2,Unsupported,
Warlocked,CGB-BWLE-USA,CGB,2,Unsupported,
Wave Race,DMG-WA-USA,DMG,4,Unsupported,
Wild Snake,DMG-AWSE-USA,DMG,2,Unsupported,
Word Zap,DMG-WZ-USA,DMG,2,Unsupported,
WWF King of the Ring,DMG-WP-USA,DMG,2,Unsupported,
WWF Superstars,DMG-LW-USA,DMG,2,Unsupported,
WWF Superstars 2,DMG-WX-USA,DMG,2,Unsupported,
Yoshi,DMG-YO-USA,DMG,2,Unsupported,
Yoshi’s Cookie,DMG-CI-USA,DMG,4,Unsupported,
Yu-Gi-Oh! Dark Duel Stories,CGB-BY3E-USA,CGB,2,Unsupported,
Zoop,DMG-AZPE-USA,DMG,2,Unsupported,
