Master,Slave,Notes
29,55,Master/slave negotiation again
83,00,Master sends initial garbage (10 rows x 10 cols)
2F,00,… (same as above)
86,00,
82,00,
2F,00,
2F,00,
2F,00,
80,00,
82,00,
80,00,
2F,00,
86,00,
83,00,
